Date,Weekday,RangePoints,InRange,BelowP25,AboveP75
2021.09.16,Jue,4050,0,0,0
2021.09.17,Vie,5550,0,0,1
2021.09.20,Lun,5800,0,0,1
2021.09.21,Mar,5450,0,0,1
2021.09.22,Mie,2200,0,1,0
2021.09.23,Jue,4950,0,0,0
2021.09.24,Vie,4750,0,0,0
2021.09.27,Lun,3550,0,0,0
2021.09.28,Mar,7900,0,0,1
2021.09.29,Mie,3950,0,0,0
2021.09.30,Jue,7050,0,0,1
2021.10.01,Vie,7550,0,0,1
2021.10.04,Lun,2650,0,1,0
2021.10.05,Mar,3800,0,0,0
2021.10.06,Mie,3450,0,0,0
2021.10.07,Jue,2500,0,1,0
2021.10.08,Vie,2600,0,1,0
2021.10.11,Lun,3150,0,0,0
2021.10.12,Mar,4000,0,0,0
2021.10.13,Mie,3700,0,0,0
2021.10.14,Jue,3150,0,0,0
2021.10.15,Vie,2000,0,1,0
2021.10.18,Lun,4200,0,0,0
2021.10.19,Mar,2600,0,1,0
2021.10.20,Mie,1700,0,1,0
2021.10.21,Jue,1900,0,1,0
2021.10.22,Vie,2300,0,1,0
2021.10.25,Lun,2950,0,0,0
2021.10.26,Mar,2700,0,0,0
2021.10.27,Mie,3050,0,0,0
2021.10.28,Jue,2850,0,0,0
2021.10.29,Vie,3150,0,0,0
2021.11.01,Lun,2100,0,1,0
2021.11.02,Mar,1850,0,1,0
2021.11.03,Mie,1500,0,1,0
2021.11.04,Jue,1600,0,1,0
2021.11.05,Vie,1400,0,1,0
2021.11.08,Lun,1080,0,1,0
2021.11.09,Mar,5100,0,0,0
2021.11.10,Mie,1600,0,1,0
2021.11.11,Jue,1500,0,1,0
2021.11.12,Vie,1620,0,1,0
2021.11.15,Lun,2700,0,0,0
2021.11.16,Mar,1220,0,1,0
2021.11.17,Mie,1800,0,1,0
2021.11.18,Jue,2230,0,1,0
2021.11.19,Vie,4600,0,0,0
2021.11.22,Lun,2700,0,0,0
2021.11.23,Mar,7400,0,0,1
2021.11.24,Mie,4500,0,0,0
2021.11.25,Jue,2230,0,1,0
2021.11.26,Vie,8650,0,0,1
2021.11.29,Lun,5250,0,0,0
2021.11.30,Mar,5700,0,0,1
2021.12.01,Mie,1770,0,1,0
2021.12.02,Jue,9040,0,0,1
2021.12.03,Vie,7870,0,0,1
2021.12.06,Lun,6190,0,0,1
2021.12.07,Mar,1790,0,1,0
2021.12.08,Mie,3700,0,0,0
2021.12.09,Jue,2360,0,1,0
2021.12.10,Vie,3430,0,0,0
2021.12.13,Lun,3150,0,0,0
2021.12.14,Mar,5950,0,0,1
2021.12.15,Mie,3030,0,0,0
2021.12.16,Jue,3690,0,0,0
2021.12.17,Vie,4260,0,0,0
2021.12.20,Lun,4530,0,0,0
2021.12.21,Mar,4140,0,0,0
2021.12.22,Mie,3500,0,0,0
2021.12.23,Jue,1960,0,1,0
2021.12.27,Lun,1200,0,1,0
2021.12.28,Mar,2350,0,1,0
2021.12.29,Mie,3960,0,0,0
2021.12.30,Jue,1950,0,1,0
2022.01.03,Lun,5930,0,0,1
2022.01.04,Mar,2000,0,1,0
2022.01.05,Mie,2590,0,1,0
2022.01.06,Jue,7330,0,0,1
2022.01.07,Vie,5590,0,0,1
2022.01.10,Lun,3270,0,0,0
2022.01.11,Mar,3880,0,0,0
2022.01.12,Mie,2990,0,0,0
2022.01.13,Jue,2840,0,0,0
2022.01.14,Vie,7180,0,0,1
2022.01.17,Lun,1880,0,1,0
2022.01.18,Mar,3770,0,0,0
2022.01.19,Mie,3690,0,0,0
2022.01.20,Jue,3400,0,0,0
2022.01.21,Vie,5260,0,0,0
2022.01.24,Lun,8470,0,0,1
2022.01.25,Mar,9450,0,0,1
2022.01.26,Mie,6090,0,0,1
2022.01.27,Jue,7550,0,0,1
2022.01.28,Vie,5390,0,0,1
2022.01.31,Lun,3480,0,0,0
2022.02.01,Mar,5900,0,0,1
2022.02.02,Mie,4060,0,0,0
2022.02.03,Jue,4730,0,0,0
2022.02.04,Vie,6050,0,0,1
2022.02.07,Lun,3730,0,0,0
2022.02.08,Mar,4770,0,0,0
2022.02.09,Mie,1720,0,1,0
2022.02.10,Jue,5760,0,0,1
2022.02.11,Vie,6350,0,0,1
2022.02.14,Lun,6480,0,0,1
2022.02.15,Mar,3690,0,0,0
2022.02.16,Mie,2990,0,0,0
2022.02.17,Jue,4600,0,0,0
2022.02.18,Vie,5670,0,0,1
2022.02.21,Lun,8460,0,0,1
2022.02.22,Mar,7210,0,0,1
2022.02.23,Mie,3180,0,0,0
2022.02.24,Jue,7790,0,0,1
2022.02.25,Vie,7360,0,0,1
2022.02.28,Lun,5440,0,0,1
2022.03.01,Mar,9040,0,0,1
2022.03.02,Mie,8800,0,0,1
2022.03.03,Jue,5030,0,0,0
2022.03.04,Vie,10090,0,0,1
2022.03.07,Lun,9490,0,0,1
2022.03.08,Mar,12870,0,0,1
2022.03.09,Mie,5070,0,0,0
2022.03.10,Jue,8350,0,0,1
2022.03.11,Vie,7820,0,0,1
2022.03.14,Lun,7700,0,0,1
2022.03.15,Mar,12420,0,0,1
2022.03.16,Mie,6870,0,0,1
2022.03.17,Jue,8410,0,0,1
2022.03.18,Vie,7910,0,0,1
2022.03.21,Lun,6430,0,0,1
2022.03.22,Mar,2820,0,0,0
2022.03.23,Mie,5000,0,0,0
2022.03.24,Jue,4750,0,0,0
2022.03.25,Vie,5850,0,0,1
2022.03.28,Lun,4960,0,0,0
2022.03.29,Mar,9250,0,0,1
2022.03.30,Mie,2750,0,0,0
2022.03.31,Jue,5010,0,0,0
2022.04.01,Vie,4180,0,0,0
2022.04.04,Lun,2700,0,0,0
2022.04.05,Mar,3640,0,0,0
2022.04.06,Mie,4790,0,0,0
2022.04.07,Jue,4470,0,0,0
2022.04.08,Vie,2580,0,1,0
2022.04.11,Lun,7130,0,0,1
2022.04.12,Mar,7540,0,0,1
2022.04.13,Mie,4720,0,0,0
2022.04.14,Jue,5630,0,0,1
2022.04.19,Mar,3590,0,0,0
2022.04.20,Mie,4120,0,0,0
2022.04.21,Jue,2620,0,1,0
2022.04.22,Vie,7140,0,0,1
2022.04.25,Lun,5800,0,0,1
2022.04.26,Mar,5680,0,0,1
2022.04.27,Mie,8780,0,0,1
2022.04.28,Jue,3540,0,0,0
2022.04.29,Vie,3640,0,0,0
2022.05.02,Lun,8180,0,0,1
2022.05.03,Mar,4880,0,0,0
