Date,Weekday,RangePips,InRange,BelowP25,AboveP75
2021.05.03,Lun,20.6,1,0,1
2021.05.04,Mar,11.6,1,0,0
2021.05.05,Mie,14.7,1,0,0
2021.05.06,Jue,12.5,1,0,0
2021.05.07,Vie,35.1,0,0,1
2021.05.10,Lun,16.8,1,0,0
2021.05.11,Mar,14.6,1,0,0
2021.05.12,Mie,39.5,0,0,1
2021.05.13,Jue,19.6,1,0,1
2021.05.14,Vie,14.6,1,0,0
2021.05.17,Lun,11.7,1,0,0
2021.05.18,Mar,15.4,1,0,0
2021.05.19,Mie,6.6,0,1,0
2021.05.20,Jue,12.2,1,0,0
2021.05.21,Vie,7.0,0,1,0
2021.05.24,Lun,7.0,0,1,0
2021.05.25,Mar,13.5,1,0,0
2021.05.26,Mie,13.8,1,0,0
2021.05.27,Jue,14.2,1,0,0
2021.05.28,Vie,18.8,1,0,0
2021.06.01,Mar,7.6,0,1,0
2021.06.02,Mie,11.5,1,0,0
2021.06.03,Jue,16.7,1,0,0
2021.06.04,Vie,19.4,1,0,1
2021.06.07,Lun,5.5,0,1,0
2021.06.08,Mar,15.8,1,0,0
2021.06.09,Mie,18.4,1,0,0
2021.06.10,Jue,22.1,1,0,1
2021.06.11,Vie,7.5,0,1,0
2021.06.14,Lun,8.9,1,1,0
2021.06.15,Mar,10.5,1,0,0
2021.06.17,Jue,23.0,1,0,1
2021.06.18,Vie,13.6,1,0,0
2021.06.21,Lun,6.3,0,1,0
2021.06.22,Mar,13.7,1,0,0
2021.06.23,Mie,10.5,1,0,0
2021.06.24,Jue,12.2,1,0,0
2021.06.25,Vie,11.8,1,0,0
2021.06.28,Lun,11.6,1,0,0
2021.06.29,Mar,13.3,1,0,0
2021.06.30,Mie,11.9,1,0,0
2021.07.01,Jue,5.4,0,1,0
2021.07.02,Vie,21.6,1,0,1
2021.07.05,Lun,11.1,1,0,0
2021.07.06,Mar,7.9,0,1,0
2021.07.07,Mie,9.8,1,0,0
2021.07.08,Jue,20.6,1,0,1
2021.07.09,Vie,8.2,1,1,0
2021.07.12,Lun,8.1,1,1,0
2021.07.13,Mar,21.2,1,0,1
2021.07.14,Mie,10.3,1,0,0
2021.07.15,Jue,10.2,1,0,0
2021.07.16,Vie,9.6,1,0,0
2021.07.19,Lun,15.5,1,0,0
2021.07.20,Mar,8.7,1,1,0
2021.07.21,Mie,10.4,1,0,0
2021.07.22,Jue,19.4,1,0,1
2021.07.23,Vie,8.2,1,1,0
2021.07.26,Lun,10.4,1,0,0
2021.07.27,Mar,8.2,1,1,0
2021.07.28,Mie,8.4,1,1,0
2021.07.29,Jue,18.2,1,0,0
2021.07.30,Vie,13.6,1,0,0
2021.08.02,Lun,10.6,1,0,0
2021.08.03,Mar,8.9,1,1,0
2021.08.04,Mie,8.6,1,1,0
2021.08.05,Jue,17.1,1,0,0
2021.08.06,Vie,23.0,1,0,1
2021.08.09,Lun,8.7,1,1,0
2021.08.10,Mar,13.3,1,0,0
2021.08.11,Mie,22.8,1,0,1
2021.08.12,Jue,11.5,1,0,0
2021.08.13,Vie,5.6,0,1,0
2021.08.16,Lun,6.1,0,1,0
2021.08.17,Mar,11.9,1,0,0
2021.08.18,Mie,5.3,0,1,0
2021.08.19,Jue,5.6,0,1,0
2021.08.20,Vie,4.2,0,1,0
2021.08.23,Lun,7.9,0,1,0
2021.08.24,Mar,14.0,1,0,0
2021.08.25,Mie,10.0,1,0,0
2021.08.26,Jue,13.4,1,0,0
2021.08.27,Vie,7.3,0,1,0
2021.08.30,Lun,7.6,0,1,0
