NumOp,FechaAbre,HoraAbre,FechaCierre,HoraCierre,DiaSemana,Direccion,KeyHigh,KeyLow,RangoPuntos,SL_puntos,TP_puntos,RR,SweepOpen,SweepHigh,SweepLow,SweepClose,BarrasDesdeKey,Entrada,SL_precio,TP_precio,Lotes,RiesgoReal,GananciaMaxima,Spread_pts,Profit,Resultado,DuracionMin,Balance,PnLAcumulado,DD_USD,WinRate_pct,PF
1,2021.01.27,16:10,,,,Mie,13401.20000,13367.80000,3340.0,1002.0000,3006.0000,3.00,13403.70000,13412.50000,13381.80000,13386.20000,3,13386.40000,13396.42000,13356.34000,0.01,2.00,6.01,2,,ABIERTA,,5000.00,0.00,0.00,,
1,2021.01.27,16:10,2021.01.27,16:19,Mie,PERDIDA,13401.20000,13367.80000,3340.0,1002.0000,3006.0000,3.00,13403.70000,13412.50000,13381.80000,13386.20000,3,13386.40000,,,0.01,200.40,601.20,,-2.00,PERDIDA,9,4998.00,-2.00,2.00,0.0,0.000
2,2021.01.29,16:10,,,,Vie,13136.40000,13077.70000,5870.0,1761.0000,5283.0000,3.00,13137.70000,13145.90000,13117.30000,13125.00000,3,13125.20000,13142.81000,13072.37000,0.01,3.52,10.57,2,,ABIERTA,,4998.00,-2.00,2.00,,
2,2021.01.29,16:10,2021.01.29,16:19,Vie,PERDIDA,13136.40000,13077.70000,5870.0,1761.0000,5283.0000,3.00,13137.70000,13145.90000,13117.30000,13125.00000,3,13125.20000,,,0.01,352.20,1056.60,,-3.52,PERDIDA,9,4994.48,-5.52,5.52,0.0,0.000
3,2021.02.10,16:40,,,,Mie,13757.80000,13725.40000,3240.0,972.0000,2916.0000,3.00,13750.10000,13768.40000,13723.40000,13742.60000,6,13742.12000,13732.40000,13771.28000,0.01,1.94,5.83,2,,ABIERTA,,4994.48,-5.52,5.52,,
3,2021.02.10,16:40,2021.02.10,16:49,Mie,PERDIDA,13757.80000,13725.40000,3240.0,972.0000,2916.0000,3.00,13750.10000,13768.40000,13723.40000,13742.60000,6,13742.12000,,,0.01,194.40,583.20,,-1.94,PERDIDA,9,4992.54,-7.46,7.46,0.0,0.000
4,2021.02.18,16:50,,,,Jue,13597.70000,13556.50000,4120.0,1236.0000,3708.0000,3.00,13546.70000,13583.50000,13530.70000,13565.20000,7,13564.32000,13551.96000,13601.40000,0.01,2.47,7.42,2,,ABIERTA,,4992.54,-7.46,7.46,,
4,2021.02.18,16:50,2021.02.18,16:59,Jue,PERDIDA,13597.70000,13556.50000,4120.0,1236.0000,3708.0000,3.00,13546.70000,13583.50000,13530.70000,13565.20000,7,13564.32000,,,0.01,247.20,741.60,,-2.47,PERDIDA,9,4990.07,-9.93,9.93,0.0,0.000
5,2021.02.22,16:30,,,,Lun,13423.50000,13391.20000,3230.0,969.0000,2907.0000,3.00,13383.70000,13394.60000,13380.20000,13393.70000,5,13394.62000,13384.93000,13423.69000,0.01,1.94,5.81,2,,ABIERTA,,4990.07,-9.93,9.93,,
5,2021.02.22,16:30,2021.02.22,16:39,Lun,PERDIDA,13423.50000,13391.20000,3230.0,969.0000,2907.0000,3.00,13383.70000,13394.60000,13380.20000,13393.70000,5,13394.62000,,,0.01,193.80,581.40,,-1.94,PERDIDA,9,4988.13,-11.87,11.87,0.0,0.000
6,2021.02.23,16:10,,,,Mar,13018.90000,12984.20000,3470.0,1041.0000,3123.0000,3.00,13025.20000,13028.10000,12996.40000,13001.70000,3,13001.60000,13012.01000,12970.37000,0.01,2.08,6.25,2,,ABIERTA,,4988.13,-11.87,11.87,,
6,2021.02.23,16:10,2021.02.23,16:39,Mar,PERDIDA,13018.90000,12984.20000,3470.0,1041.0000,3123.0000,3.00,13001.60000,13004.50000,12979.20000,12994.20000,3,13001.60000,,,0.01,208.20,624.60,,-2.08,PERDIDA,29,4986.05,-13.95,13.95,0.0,0.000
7,2021.02.25,16:30,,,,Jue,13214.10000,13164.80000,4930.0,1479.0000,4437.0000,3.00,13171.50000,13185.50000,13160.40000,13184.90000,5,13183.02000,13168.23000,13227.39000,0.01,2.96,8.87,2,,ABIERTA,,4986.05,-13.95,13.95,,
7,2021.02.25,16:30,2021.02.25,16:39,Jue,GANADA,13214.10000,13164.80000,4930.0,1479.0000,4437.0000,3.00,13171.50000,13185.50000,13160.40000,13184.90000,5,13183.02000,,,0.01,295.80,887.40,,8.87,GANADA,9,4994.92,-5.08,5.08,14.3,0.636
8,2021.02.26,16:10,,,,Vie,12953.40000,12872.80000,8060.0,2418.0000,7254.0000,3.00,12960.40000,12986.70000,12942.00000,12944.50000,3,12944.80000,12968.98000,12872.26000,0.01,4.84,14.51,2,,ABIERTA,,4994.92,-5.08,5.08,,
